DateTime,TimeSSM,Status,DataStatus,PartCt,HistSum,PartCon,BL,BLTH,STD,MaxSTD,P,TofP, PumpLife_hrs,WidthSTD,AveWidth, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,BL_Start,TH_Mult,nbins,logmin,logmax,Skip_Save,MinPeakPts,MaxPeakPts,RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1692220663.798,76663.7985,3,2,4,4,26.96,2040,2069,9.63,11.01,988.64,29.20,260.65,0.00,0.00,0.15,130.55,41.69,625.49,1013.63,26.47,10.41,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1692220664.798,76664.7977,3,0,329,329,98.41,2038,2069,10.49,11.20,988.73,29.19,260.65,24.47,29.75,3.34,416.70,41.75,621.98,1025.93,26.47,10.48,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,45,38,41,46,37,59,36,23,4,0,0,0,0,0,0,0
1692220665.799,76665.7986,3,0,302,302,94.80,2035,2065,9.80,11.62,988.64,29.20,260.65,11.95,24.95,3.19,305.49,41.99,625.93,1029.01,26.47,10.87,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,45,52,49,38,28,38,34,16,2,0,0,0,0,0,0,0
1692220666.798,76666.7984,3,0,297,297,99.17,2036,2067,10.34,10.96,988.68,29.21,260.66,15.91,31.56,2.99,306.81,42.01,625.93,1027.25,26.45,11.05,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,60,46,47,38,39,29,30,4,3,1,0,0,0,0,0,0
1692220667.797,76667.7972,3,0,312,312,104.85,2035,2064,9.94,11.10,988.65,29.22,260.66,15.84,31.22,2.98,308.57,42.03,625.05,1027.69,26.39,11.51,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,38,43,49,41,26,47,47,14,7,0,0,0,0,0,0,0
1692220668.799,76668.7985,3,0,270,270,89.66,2035,2066,10.25,10.98,988.63,29.22,260.66,15.77,32.47,3.01,302.42,42.18,625.05,1029.45,26.31,11.52,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,51,44,39,40,27,28,26,14,1,0,0,0,0,0,0,0
1692220669.798,76669.7984,3,0,303,303,102.30,2033,2062,9.76,11.07,988.67,29.24,260.66,17.44,32.45,2.96,304.18,42.30,624.62,1029.89,26.47,11.29,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,51,38,48,39,35,51,28,11,2,0,0,0,0,0,0,0
1692220670.799,76670.7987,3,0,262,262,87.00,2034,2064,9.82,11.14,988.66,29.24,260.66,16.60,34.15,3.01,315.60,42.39,624.18,1029.01,26.45,11.67,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,36,32,39,28,34,40,33,18,1,1,0,0,0,0,0,0
1692220671.797,76671.7971,3,0,283,283,92.86,2034,2063,9.73,11.16,988.71,29.24,260.66,17.53,34.26,3.05,310.77,42.49,622.42,1029.89,26.47,11.55,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,42,40,28,38,26,42,41,20,1,4,0,0,0,0,1,0
1692220672.799,76672.7986,3,0,234,234,78.06,2034,2063,9.89,11.13,988.58,29.25,260.66,15.25,31.29,3.00,312.53,42.58,623.30,1030.33,26.45,11.67,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,40,33,23,29,27,41,26,13,2,0,0,0,0,0,0,0
